,Model,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Seats,Price,Company
0,Maruti Wagon R LXI CNG,Mumbai,2010,72000,CNG,Manual,5.0,1.75,Maruti
1,Hyundai Creta 1.6 CRDi SX Option,Pune,2015,41000,Diesel,Manual,5.0,12.5,Hyundai
2,Honda Jazz V,Chennai,2011,46000,Petrol,Manual,5.0,4.5,Honda
3,Maruti Ertiga VDI,Chennai,2012,87000,Diesel,Manual,7.0,6.0,Maruti
4,Audi A4 New 2.0 TDI Multitronic,Coimbatore,2013,40670,Diesel,Automatic,5.0,17.74,Audi
5,Hyundai EON LPG Era Plus Option,Hyderabad,2012,75000,LPG,Manual,5.0,2.35,Hyundai
6,Nissan Micra Diesel XV,Jaipur,2013,86999,Diesel,Manual,5.0,3.5,Nissan
7,Toyota Innova Crysta 2.8 GX AT 8S,Mumbai,2016,36000,Diesel,Automatic,8.0,17.5,Toyota
8,Volkswagen Vento Diesel Comfortline,Pune,2013,64430,Diesel,Manual,5.0,5.2,Volkswagen
9,Tata Indica Vista Quadrajet LS,Chennai,2012,65932,Diesel,Manual,5.0,1.95,Tata
10,Maruti Ciaz Zeta,Kochi,2018,25692,Petrol,Manual,5.0,9.95,Maruti
11,Honda City 1.5 V AT Sunroof,Kolkata,2012,60000,Petrol,Automatic,5.0,4.49,Honda
12,Maruti Swift VDI BSIV,Jaipur,2015,64424,Diesel,Manual,5.0,5.6,Maruti
13,Land Rover Range Rover 2.2L Pure,Delhi,2014,72000,Diesel,Automatic,5.0,27.0,Land
14,Land Rover Freelander 2 TD4 SE,Pune,2012,85000,Diesel,Automatic,5.0,17.5,Land
15,Mitsubishi Pajero Sport 4X4,Delhi,2014,110000,Diesel,Manual,7.0,15.0,Mitsubishi
16,Honda Amaze S i-Dtech,Kochi,2016,58950,Diesel,Manual,5.0,5.4,Honda
17,Maruti Swift DDiS VDI,Jaipur,2017,25000,Diesel,Manual,5.0,5.99,Maruti
18,Renault Duster 85PS Diesel RxL Plus,Kochi,2014,77469,Diesel,Manual,5.0,6.34,Renault
19,Mercedes-Benz New C-Class C 220 CDI BE Avantgare,Bangalore,2014,78500,Diesel,Automatic,5.0,28.0,Mercedes-Benz
20,BMW 3 Series 320d,Kochi,2014,32982,Diesel,Automatic,5.0,18.55,BMW
21,Maruti S Cross DDiS 200 Alpha,Bangalore,2015,55392,Diesel,Manual,5.0,8.25,Maruti
22,Audi A6 2011-2015 35 TFSI Technology,Mumbai,2015,55985,Petrol,Automatic,5.0,23.5,Audi
23,Hyundai i20 1.2 Magna,Kolkata,2010,45807,Petrol,Manual,5.0,1.87,Hyundai
24,Volkswagen Vento Petrol Highline AT,Kolkata,2010,33000,Petrol,Automatic,5.0,2.85,Volkswagen
25,Honda City Corporate Edition,Mumbai,2012,51920,Petrol,Manual,5.0,4.25,Honda
26,Nissan Micra Diesel XV,Hyderabad,2012,54000,Diesel,Manual,5.0,4.25,Nissan
27,Maruti Alto K10 2010-2014 VXI,Hyderabad,2013,54000,Petrol,Manual,5.0,2.75,Maruti
28,Honda WRV i-VTEC VX,Kochi,2018,37430,Petrol,Manual,5.0,9.9,Honda
29,Toyota Innova 2.5 V Diesel 7-seater,Mumbai,2007,262000,Diesel,Manual,7.0,4.0,Toyota
30,Renault Duster 110PS Diesel RxZ Pack,Bangalore,2013,62000,Diesel,Manual,5.0,7.75,Renault
31,Toyota Corolla Altis G,Delhi,2012,87615,Petrol,Manual,5.0,6.75,Toyota
32,Mahindra Ssangyong Rexton RX7,Bangalore,2013,72000,Diesel,Automatic,7.0,12.5,Mahindra
33,Audi A6 2.7 TDI,Kolkata,2010,35000,Diesel,Automatic,5.0,11.5,Audi
34,Volkswagen Vento 1.6 Highline,Coimbatore,2014,55431,Petrol,Manual,5.0,6.98,Volkswagen
35,Maruti Wagon R LXI BSIII,Jaipur,2009,83816,Petrol,Manual,5.0,1.85,Maruti
36,Maruti Vitara Brezza ZDi Plus,Kochi,2018,50075,Diesel,Manual,5.0,8.63,Maruti
37,Mahindra KUV 100 mFALCON G80 K6 5str AW,Delhi,2017,52000,Petrol,Manual,5.0,4.85,Mahindra
38,Mercedes-Benz M-Class ML 350 CDI,Pune,2013,85000,Diesel,Automatic,5.0,28.0,Mercedes-Benz
39,Volkswagen Polo Diesel Trendline 1.2L,Chennai,2013,62000,Diesel,Manual,5.0,5.0,Volkswagen
40,Maruti Alto LXi,Delhi,2008,90000,Petrol,Manual,5.0,1.25,Maruti
41,Tata Nano LX SE,Kochi,2014,19698,Petrol,Manual,4.0,1.53,Tata
42,Mahindra KUV 100 mFALCON D75 K8 Dual Tone,Coimbatore,2017,22033,Diesel,Manual,6.0,5.58,Mahindra
43,Hyundai i20 Magna Optional 1.2,Kochi,2014,35487,Petrol,Manual,5.0,4.74,Hyundai
44,Hyundai Elantra 2.0 SX Option AT,Bangalore,2014,46374,Petrol,Automatic,5.0,8.85,Hyundai
45,Toyota Corolla Altis G AT,Mumbai,2016,52001,Petrol,Automatic,5.0,10.11,Toyota
46,Hyundai Elantra CRDi,Ahmedabad,2008,58005,Diesel,Manual,5.0,4.25,Hyundai
47,Toyota Innova Crysta 2.7 GX MT,Bangalore,2012,70704,Petrol,Manual,7.0,10.95,Toyota
48,Hyundai Xcent 1.1 CRDi S,Jaipur,2014,75000,Diesel,Manual,5.0,3.85,Hyundai
49,Mahindra Thar CRDe AC,Jaipur,2012,75800,Diesel,Manual,6.0,5.5,Mahindra
50,Audi A4 2.0 TDI 177 Bhp Premium Plus,Kochi,2015,13648,Diesel,Automatic,5.0,21.43,Audi
51,Maruti Swift LDI,Delhi,2014,52000,Diesel,Manual,5.0,4.25,Maruti
52,Maruti Swift Ldi BSIV,Kolkata,2014,53000,Diesel,Manual,5.0,3.3,Maruti
53,Maruti Swift VDI,Delhi,2013,65650,Diesel,Manual,5.0,3.85,Maruti
54,Hyundai Grand i10 Sportz,Chennai,2015,54000,Petrol,Manual,5.0,3.6,Hyundai
55,Volkswagen Vento 2013-2015 1.6 Comfortline,Kolkata,2015,39000,Petrol,Manual,5.0,3.99,Volkswagen
56,Renault KWID RXT,Kochi,2017,16542,Petrol,Manual,5.0,3.3,Renault
57,Hyundai i10 Asta,Kolkata,2010,32000,Petrol,Manual,5.0,2.07,Hyundai
58,Nissan X-Trail SLX AT,Hyderabad,2010,121812,Diesel,Automatic,5.0,7.75,Nissan
59,Maruti Zen Estilo VXI BSIII,Hyderabad,2010,39300,Petrol,Manual,5.0,2.25,Maruti
60,Toyota Innova Crysta 2.4 GX MT 8S,Mumbai,2017,22000,Diesel,Manual,8.0,16.5,Toyota
61,Ford Figo Diesel Titanium,Bangalore,2010,72000,Diesel,Manual,5.0,2.75,Ford
62,Mercedes-Benz New C-Class C 200 CGI Avantgarde,Delhi,2015,58000,Petrol,Automatic,5.0,26.7,Mercedes-Benz
63,Mercedes-Benz New C-Class 200 CDI Classic,Pune,2011,65000,Diesel,Manual,5.0,10.0,Mercedes-Benz
64,Tata Indica V2 eLS,Chennai,2016,178000,Diesel,Manual,5.0,2.5,Tata
65,Audi A4 2.0 TDI Multitronic,Jaipur,2012,65664,Diesel,Automatic,5.0,13.5,Audi
66,Honda City ZX CVT,Mumbai,2007,63000,Petrol,Automatic,5.0,1.85,Honda
67,Mercedes-Benz C-Class Progressive C 220d,Coimbatore,2019,15369,Diesel,Automatic,5.0,35.67,Mercedes-Benz
68,Maruti Ertiga SHVS VDI,Pune,2016,63000,Diesel,Manual,7.0,8.15,Maruti
69,Hyundai Creta 1.4 E Plus Diesel,Mumbai,2018,13000,Diesel,Manual,5.0,10.5,Hyundai
70,Porsche Cayenne 2009-2014 Turbo,Mumbai,2008,73000,Petrol,Automatic,5.0,14.5,Porsche
71,Mahindra XUV500 W8 4WD,Mumbai,2015,55729,Diesel,Manual,7.0,9.65,Mahindra
72,Hyundai i10 Sportz 1.2 AT,Kochi,2012,45178,Petrol,Automatic,5.0,3.48,Hyundai
73,Nissan Terrano XV D Pre,Kochi,2015,56066,Diesel,Manual,5.0,6.92,Nissan
74,Honda Brio VX AT,Coimbatore,2016,37300,Petrol,Automatic,5.0,6.46,Honda
75,Audi A6 2.0 TDI Design Edition,Delhi,2014,56000,Diesel,Automatic,5.0,29.5,Audi
76,Ford Fiesta 1.4 SXi TDCi,Jaipur,2008,111111,Diesel,Manual,5.0,2.0,Ford
77,Toyota Innova 2.0 G1,Chennai,2006,230000,Petrol,Manual,8.0,4.5,Toyota
78,Toyota Innova 2.5 VX 7 STR BSIV,Hyderabad,2012,104000,Diesel,Manual,7.0,11.75,Toyota
79,Hyundai Santro Xing XL,Hyderabad,2005,87591,Petrol,Manual,5.0,1.3,Hyundai
80,Maruti Swift VDI,Jaipur,2012,95100,Diesel,Manual,5.0,3.75,Maruti
81,Tata Zest Revotron 1.2T XE,Pune,2017,70000,Petrol,Manual,5.0,4.5,Tata
82,Honda Amaze SX i-VTEC,Kochi,2016,54944,Petrol,Manual,5.0,4.82,Honda
83,Ford Figo Diesel ZXI,Hyderabad,2012,70337,Diesel,Manual,5.0,2.8,Ford
84,Maruti Ritz VDi,Jaipur,2013,99638,Diesel,Manual,5.0,3.11,Maruti
85,Honda City i VTEC E,Delhi,2009,52000,Petrol,Manual,5.0,3.25,Honda
86,BMW 5 Series 2003-2012 525d,Delhi,2011,75000,Diesel,Automatic,5.0,13.9,BMW
87,Hyundai i10 Sportz 1.2,Pune,2009,95980,Petrol,Manual,5.0,2.25,Hyundai
88,Hyundai Grand i10 Sportz,Bangalore,2016,16000,Petrol,Manual,5.0,5.75,Hyundai
89,Hyundai Santro Xing XO,Hyderabad,2007,73745,Petrol,Manual,5.0,2.1,Hyundai
90,Honda Amaze SX i-VTEC,Mumbai,2016,18949,Petrol,Manual,5.0,5.0,Honda
91,Toyota Fortuner 4x2 Manual,Delhi,2014,107000,Diesel,Manual,7.0,16.5,Toyota
92,Audi A6 2011-2015 35 TDI Premium,Coimbatore,2018,48367,Diesel,Automatic,5.0,39.58,Audi
